FID,anzahl_els,anzahl_lp_ac,anzahl_lp_alle,anzahl_lp_dc,anzahl_stpl,aufstelldatum,bemerkung,stadtbezirk,standort,haupttyp,haupttyp_bedeutung,shape
opendata_ruhver_els_point.111,2,4,4,0,4,2018-12-21T00:00:00,,19,Gulbranssonstr. 43 / Wilhelm-Busch-Str.,0,In Betrieb befindliche Ladesäulen,POINT (686649.214400736 5328461.731198273)
opendata_ruhver_els_point.112,2,4,4,0,4,2019-09-04T00:00:00,,19,Machtlfinger Straße 7,0,In Betrieb befindliche Ladesäulen,POINT (687168.5840007461 5330087.161098241)
opendata_ruhver_els_point.113,2,4,4,0,4,2019-09-18T00:00:00,,19,Halskestraße 11,0,In Betrieb befindliche Ladesäulen,POINT (687627.5073007552 5330545.464198216)
opendata_ruhver_els_point.114,2,4,4,0,4,2019-12-11T00:00:00,,19,Albert-Bayerle-Platz 2,0,In Betrieb befindliche Ladesäulen,POINT (688327.7347007694 5330524.506498178)
opendata_ruhver_els_point.115,1,2,2,0,2,2019-09-25T00:00:00,,19,Limmatstraße 2,0,In Betrieb befindliche Ladesäulen,POINT (686211.8129007271 5329826.294798293)
opendata_ruhver_els_point.116,2,4,4,0,4,2019-04-17T00:00:00,,20,Heiglhofstr. 53,0,In Betrieb befindliche Ladesäulen,POINT (684406.9353006925 5331413.661198382)
opendata_ruhver_els_point.117,2,4,4,0,4,2018-09-05T00:00:00,,7,Ettalstr. 44,0,In Betrieb befindliche Ladesäulen,POINT (687126.5515007447 5332453.999698238)
opendata_ruhver_els_point.118,2,4,4,0,4,2018-12-12T00:00:00,,7,Eichendorffplatz 7,0,In Betrieb befindliche Ladesäulen,POINT (687834.527000759 5331920.937698202)
opendata_ruhver_els_point.119,2,4,4,0,4,2018-12-05T00:00:00,,7,Konrad-Celtis-Str. 67 / Ecke Friedrich-Hebbel-Straße,0,In Betrieb befindliche Ladesäulen,POINT (688038.0529007632 5331684.58729819)
opendata_ruhver_els_point.120,2,4,4,0,4,2018-12-05T00:00:00,,7,Krüner Str. 2,0,In Betrieb befindliche Ladesäulen,POINT (688149.2270007652 5332557.141298185)
opendata_ruhver_els_point.121,2,4,4,0,4,2018-12-05T00:00:00,,7,"Fernpaßstr. 46, Ecke Hinterbärenbadstr.",0,In Betrieb befindliche Ladesäulen,POINT (687737.9887007568 5332742.679198206)
opendata_ruhver_els_point.122,2,4,4,0,4,2018-07-18T00:00:00,,7,Cimbernstr. 15,0,In Betrieb befindliche Ladesäulen,POINT (687243.821900747 5331659.118198237)
opendata_ruhver_els_point.123,2,4,4,0,4,2018-09-05T00:00:00,,2,Zenettiplatz (City2Share),50,In Betrieb befindliche Ladesäulen an Mobilitätsstationen (ggf. mit Beschränkung „nur für Carsharing-Fahrzeuge“),POINT (690182.9893008071 5333291.043798063)
opendata_ruhver_els_point.124,1,2,2,0,2,2018-10-03T00:00:00,,2,Am Glockenbach (City2Share),50,In Betrieb befindliche Ladesäulen an Mobilitätsstationen (ggf. mit Beschränkung „nur für Carsharing-Fahrzeuge“),POINT (690997.6878008244 5333521.526098011)
opendata_ruhver_els_point.125,2,2,2,0,2,2019-08-21T00:00:00,,2,Ehrengutstr. 5-7,0,In Betrieb befindliche Ladesäulen,POINT (690465.2673008132 5332951.634198045)
opendata_ruhver_els_point.126,2,4,4,0,4,2018-09-05T00:00:00,,6,Meindlstr. 20,0,In Betrieb befindliche Ladesäulen,POINT (688890.3317007802 5332470.687698141)
opendata_ruhver_els_point.127,2,4,4,0,4,2018-11-28T00:00:00,,8,Ridlerstr. 55,0,In Betrieb befindliche Ladesäulen,POINT (688394.0730007698 5334315.800098166)
opendata_ruhver_els_point.128,2,4,4,0,4,2019-04-29T00:00:00,,25,Fürstenriederstr. 154 / Saherrstraße,0,In Betrieb befindliche Ladesäulen,POINT (686199.2672007263 5333440.155698288)
opendata_ruhver_els_point.129,2,4,4,0,4,2019-10-16T00:00:00,,25,Inderstorferstr. 2,0,In Betrieb befindliche Ladesäulen,POINT (686153.3428007255 5333667.745398291)
opendata_ruhver_els_point.130,2,4,4,0,4,2018-12-05T00:00:00,Senkrechtparker,25,Aindorferstr. 91a,0,In Betrieb befindliche Ladesäulen,POINT (686003.9546007224 5333899.750998299)
opendata_ruhver_els_point.131,2,4,4,0,4,2019-09-11T00:00:00,,25,Guido-Schneble-Str. 76,0,In Betrieb befindliche Ladesäulen,POINT (685616.5573007159 5333663.21229832)
opendata_ruhver_els_point.132,2,4,4,0,4,2018-12-12T00:00:00,Senkrechtparker,20,Alpenveilchenstr. 1 / Gondrellpl. 1,0,In Betrieb befindliche Ladesäulen,POINT (685289.4648007089 5333171.353398336)
opendata_ruhver_els_point.133,2,4,4,0,4,2019-09-04T00:00:00,,25,Hönigschmidplatz,0,In Betrieb befindliche Ladesäulen,POINT (685229.8262007076 5333760.608798339)
opendata_ruhver_els_point.134,2,4,4,0,4,2018-12-05T00:00:00,,25,Aindorferstr. 135,0,In Betrieb befindliche Ladesäulen,POINT (685594.1170007145 5334010.582798319)
opendata_ruhver_els_point.135,1,2,2,0,2,2018-12-05T00:00:00,,20,Türkenbundweg 9 / Ecke Krokusstr.,0,In Betrieb befindliche Ladesäulen,POINT (684670.1611006971 5333297.808798367)
